generator,n_expected,AI_generated,Real,Uncertain,error
LTX,40,11,27,2,0
Hunyuan,40,8,32,0,0
Wan,40,11,29,0,0
Kling,32,24,8,0,0
Gemini_Omni,32,15,17,0,0
Seedance,32,13,19,0,0
Pexels,64,2,62,0,0
